msg_id,text
twitter/1188019747129921536,75事件，中国新疆2009年 $URL[0]
twitter/1298999734816907267,Now I KNOW yall see THIS resemblance. @JeffBezos is #CobraCommander - an extremely wealthy man in charge of a vast international organization set on world domination! $URL[0]
twitter/1462168676224974849,"(2) Bron does talk more and more openly about racism than Jordan did...but that's because doing so in 2021 involves no risk whatsoever, while simultaneously guaranteeing him constant plaudits for 'bravery.'"
twitter/1520142866814685186,So excited to have @limlouisa's new Indelible City in hand! Made a special trip to @IronDogBooks to get it. $URL[0]
twitter/1520142871822700544,🙋🏼‍♂️ $URL[0]
twitter/1522077455845974017,$URL[0] 去撸一下，动动手就能做了 邀请码 eT0AJxbxaqRzJ gBCUSxbxIQAXS 3LKJ2xbxcNS9q Vwrs4xbxFQrp5 jW6lYxbxyeBL0 AVHyVxbxgRzfS U4oSnxbxjObmJ  XZiKxxbx089WW
twitter/1651899187532034051,@whyyoutouzhele 他这也是倒霉。前些年国家统计退伍老兵，民办教师，还有一些倒闭工厂的退休职工，每个月都给发养老金，好像是一千左右。
twitter/1707085424563253511,"@AngelaBelcamino EC has guaranteed the tyranny of the minority. The GOP will never agree to abolish EC: GOP wields lots of power as the minority party. We are living under GOP tyranny. EC defeated D's in 2000&amp;2016. If D's had won, we wld have had fewer wars &amp; no Facist trump Maga cult."
twitter/1711840820616167610,S&amp;P 500 skew falling to the lowest levels of the past six months during this three-day rally --Susquehanna $URL[0]
twitter/1739939218732753379,"@realPlebejer @hans_denkt Dabei wäre es so einfach, den Krieg zu beenden:  #Zelensky an die Front"
twitter/1775559171901124805,RT @goetunion: @Sumerian0 原贴初衷是对有人将吴越的伊斯兰信仰当成洪水猛兽，而作出的一些反驳和阐述的一些事实。没人主张要用色目人以及伊斯兰去装点门面。本会观点一向如此，吴越保障信仰自由，不会因为一些人政治偏好去搞什么宗教歧视。
twitter/1775565534026965213,@murat4Ash_Shams $URL[0]
twitter/1794376703059603722,I support the consolidation of these six health agencies. I will ask the House to do something Governors Campbell and Sanford tried to do by sending this bill to Governor McMaster’s desk for his signature. I am committed to getting this bill across the finish line this year!
twitter/1796235844334096870,1450 全國優良商家，請各位多加關照  台派gogo!🫶🏻💚 · Stem Xue (薛薛) $URL[0]
